ID,Severity,Area,Rerun_or_Reanalysis,Location,Problem,Required_Action,Text_Only_Fallback
C03,Major,Well-posedness scope,No,"article 254, 264-268",The general nonlinear problem is assumed to always have a solution and vague well-posedness claims are made.,State that general nonlinear well-posedness is outside scope and the derivation is formal until the linear theorem.,Delete broad well-posedness language.
C04,Major,Boundary spaces,No,"article 296-304, 357-378, 461-465",Dirichlet traces and Neumann tractions are conflated in an L2 boundary operator.,Define H1/2 trace and H-1/2 traction operators with correct duality.,Narrow the abstract notation and avoid type claims.
C05,Moderate,Weak-form notation,No,article 457-479,Angle brackets are used both for integrals and duality.,Reserve parentheses for L2 products and angle brackets for duality.,Same correction.
C06,Moderate,Boundedness claim,No,article 467-469,"alpha in W1,infinity alone is said to make all weak-form terms bounded.",List required advection/reaction/solution regularity or say sufficiently regular arguments.,Weaken the sentence.
C07,Major,Nonhomogeneous BC,No,article 378,All developments are claimed to apply equally after a lifting.,Limit the lifting statement to formulation level and exclude the proof without extra terms.,Same correction.
C08,Major,Pressure/penalty,Possibly post-processing,"article 459, 1431-1439","Pressure nullspace, boundary compatibility, and penalty regularization are conflated.",Separate the three issues and display the iterative-penalty fixed-point equation.,Use zero-mean pressure and cautious compatibility wording.
C09,Minor,Dimension notation,No,article 833,"sigma 1_3 is used although d=2,3.",Use sigma I_d.,Same correction.
C10,Moderate,Dimensionless terminology,No,article 986-994,Da is called Damkohler without distinguishing the conventional porous-media Darcy number.,Call it a reaction/Damkohler-type number and explain the convention.,Same correction.
V01,Moderate,VMS assumptions,No,article 535-540,Bubble-subscale trace assumptions are conflated with exact physical boundary representation.,Split localization and boundary-data assumptions; remove redundancy.,Clarify wording.
V02,Moderate,VMS rhetoric,No,article 510-518,Exact fine-scale elimination is said to necessarily provide desired stability.,Say it encodes unresolved-scale effects whose approximation is designed to restore stability.,Weaken wording.
V03,Moderate,ASGS definition,No,article 570-574,ASGS is defined through an imprecise 'space of FE residuals'.,Define it as algebraic use of the full element residual.,Same correction.
V04,Major,OSGS definition,No,article 575-610,"Formal projection is onto constrained X_h0, while implementation uses unconstrained spaces.",Introduce and use the actual projection space in the main equations.,State explicitly that implementation differs from formal display.
V05,Moderate,OSGS projection,No,article 579-587,The method moves from tau-weighted to L2 projection without clearly freezing the final definition.,State the implemented projection as the scheme and treat the other as motivation.,Same correction.
V06,Major,Nonlinear variables,No,"article 514, 556-559, 600, 619-634","It is unclear whether advection/tau uses resolved, total, or lagged velocity.",Specify the field used in every displayed problem and algorithm.,Add explicit notation.
V07,Major,OSGS residual trimming,"No, unless equivalence is tested",article 638,"Constant reaction terms are omitted during iteration, making the implemented iteration differ from the displayed algorithm.",Display the actual projected residual and prove/describe equality at convergence.,Describe the trimming as an algorithmic modification without equivalence claims.
V08,Major,Solver reproducibility,Recommended rerun/validation,"article 621-634, 1093",Displayed Picard algorithm differs from the Newton/Newton-Krylov implementation; same-solution claim is unsupported.,Report exact residual/Jacobian/globalization/preconditioner/tolerances and compare representative solutions.,Describe only the actual Newton solver and remove equivalence claim.
F01,Moderate,Fourier design,No,article 692-829,Fourier scaling is presented too close to a proof of stability.,Label it a heuristic/symbol calibration; reserve stability claims for Section 5.,Weaken wording.
F02,Moderate,Fourier derivation,No,Fourier section,A one-sided symbol estimate is turned into a calibration equality without explanation.,"State that equality is a design criterion, not a necessary/sufficient condition.",Same correction.
F03,Moderate,Spectral radius,No,Fourier section around generalized spectral radius,Maximum generalized eigenvalue is used without symmetry/positivity assumptions.,Restrict definition to Hermitian PSD pairs or use a norm/singular value.,Add assumptions.
F04,Moderate,Reaction block,No,article around 796-812,The type/embedding of sigma in the d+1 Fourier system is ambiguous.,Define the velocity-block embedding and scalar reduction.,Same correction.
F05,Moderate,Parameter claim,No,Fourier section,'Minimum still ensuring' conflicts with safety factors and admitted approximations.,Describe final tau as a robust interpolation of dominant scalings.,Weaken wording.
F06,Minor,Symbolic verification,No,fourier appendix,Symbolic verification is claimed but scripts are absent.,Archive scripts or soften the statement.,Remove verification claim.
N01,Blocker,Nonlinear branch claims,Yes to retain claim,"article 1142, 1154, 1646, 1653",Solver failure is interpreted as no discrete solution and a branch fold.,"Run pseudo-arclength continuation, Jacobian diagnostics, and multiple initializations.",Say tested solvers did not converge; no inference on root existence.
N02,Major,Numerical setup,No,"article 1118, 1131-1137",All tests are said to use U=L=1 although centered encoding varies U.,"State L=1 and cell-dependent U,nu,sigma; explain DBF scaling separately.",Same correction.
N03,Major,Convergence reporting,Raw data or rerun,all numerical tables,Rates are mostly two-point slopes; raw errors and h/DOFs are absent.,"Publish all mesh errors, h, DOFs, local rates, and multi-point fits.",Call slopes two-mesh estimates and avoid asymptotic claims.
N04,Moderate,Mesh definition,No,numerical setup,"h is variously nodal distance, target size, and element size.",Define h_K and global h precisely for each mesh family.,Same correction.
N05,Major,Quadrature/reproducibility,Possibly rerun,article 1093 and methods,Quadrature degree and manufactured forcing generation are unspecified.,"Report quadrature, AD/symbolic generation, and error integration.",State missing details only after retrieving from code.
N06,Major,Residual tolerance,Post-processing or rerun,article 1093,Only momentum tolerance is mentioned; complete stabilized residual is not reported.,"Report momentum, mass, projection, and full residual norms/tolerances.",Limit claim to momentum residual.
N07,Major,Porosity resolution,Post-processing,analysis/numerical link,The mesh-resolution hypothesis is never quantified in experiments.,"Report max h_K||grad alpha||/alpha0,K for every mesh.","State only that the hypothesis was intended, not verified."
N08,Major,Penalty condition,Post-processing,article 1433-1437,Actual epsilon stability margin is not reported.,Report max epsilon tau2 and normalized condition ratio per mesh.,Remove claims that the condition was verified numerically.
N09,Major,Pointwise tau,Yes/ablation recommended,"article 828, 1086",Theory uses elementwise constants; simulations use pointwise tau and claim no effect without evidence.,Compare pointwise and element-max tau in representative regimes.,State pointwise tau is outside the proof; remove no-effect claim.
N10,Major,Interpolation benchmark,No,"table captions; article 1152-1158, 1164",Nodal interpolation is called an absolute floor/reference though FE errors can be lower.,Use 'nodal interpolation benchmark' and report ratios.,Same correction.
N11,Moderate,Best approximation,No unless derivation supplied,2D discussion,A fixed factor between nodal and best L2 approximation is asserted without a case-specific derivation.,Provide derivation or remove.,Remove.
N12,Major,Manufactured solution interpretation,No,2D discussion,Any weighted-divergence-free velocity is said to scale as 1/alpha.,Attribute scaling only to the selected manufactured family.,Same correction.
N13,Major,Evidence language,No,numerical discussion/conclusion,One-sided upper bounds are described as corroborated/verified by lower errors.,Use 'consistent with' unless data distinguish the scaling.,Same correction.
N14,Moderate,Causal interpretations,Ablations to retain,numerical discussion,Several mechanisms are asserted without controlled isolation.,Run targeted ablations or label mechanisms as hypotheses.,Use cautious hypothesis wording.
N15,Moderate,OSGS excess,No,article 1158,sqrt(e_OSGS^2-e_ASGS^2) is called an error component without orthogonality.,Use ratio/difference or call it a quadratic excess indicator.,Remove component interpretation.
N16,Moderate,ASGS/OSGS comparison,No,2D/3D discussion,Higher rate and lower error are conflated as 'better convergence'.,Report rate and magnitude separately.,Same correction.
N17,Major,3D OSGS pressure,Diagnostics recommended,article 1441; table 3DH1,OSGS pressure H1 error barely converges and stays near 1.29 in several cases.,Diagnose projection/boundary/quadrature/epsilon/tolerance effects and disclose limitation.,Elevate as unresolved limitation.
N18,Moderate,Direct solver claim,No,article 1427,Sparse LU is said to make errors purely discretization errors.,Say it removes linear iterative-solver tolerance; report nonlinear/quadrature controls.,Weaken wording.
N19,Major,3D scope,Yes for stronger claim,article 1427,Extruded z-invariant manufactured solution is called genuinely 3D.,Add full xyz-dependent MMS with nonzero u_z.,Call it an extruded 3D discretization test.
N20,Major,3D c1,Yes to retain theory-confirmation claim,"article 1429, 1659",c1=16k^4 is below stated local sufficient threshold; global admissibility is asserted without shown data.,Publish local/global eigenvalue/coercivity study and errors for multiple c1.,Call c1 empirical and remove theorem certification.
N21,Major,3D compatibility,No,article 1431,Pressure nullspace and boundary-data compatibility are said to make epsilon=0 ill-posed.,State separate compatibility/nullspace issues and possible lifting/projection remedy.,Use cautious formulation.
N22,Moderate,Epsilon derivation,No numerical rerun,article 1433-1437,Constants in epsilon_ref inequality are unexplained.,Derive them from parameter ranges and h definition or remove chain.,Report direct computed margin instead.
N23,Moderate,3D rate claim,No,article 1427,Sequences are said to establish rates despite low/unstable slopes.,Describe monotone decrease/trends and unresolved asymptotics.,Same correction.
D01,Major,DBF dimensions,"No, code inspection needed",article 1545-1550,The exact dimensional reaction formula used by the solver is not displayed and units are unclear.,"Write full dimensional formula with nu,L,U and verify units.",Do not make dimensional independence claims until clarified.
D02,Moderate,DBF parameter,No,article 1550,A single Da is quoted although sigma depends on alpha and |u|.,Call it a representative/max scale and define evaluation point.,Same correction.
D03,Moderate,Literature comparison,No,article 1542-1545,The experiment may sound like a reproduction of Cocquet et al. although fields/BCs differ.,Call it a related manufactured comparison inspired by the DBF specialization.,Same correction.
D04,Blocker,Taylor-Hood conclusion,No,"article 1644, 1648, 1659; DBF tables",General claim that equal-order matches Taylor-Hood accuracy is false for pressure.,Restrict to comparable velocity accuracy and state Taylor-Hood pressure advantage.,Same correction.
D05,Major,Comparator fairness,Yes for superiority claim,DBF comparison,"Unstabilized Taylor-Hood is compared with convection-stabilized equal-order, conflating pair stability and convection stabilization.",Add a convectively stabilized Taylor-Hood control.,State comparison demonstrates residual stabilization versus unstabilized Galerkin only.
D06,Moderate,Cost comparison,Data/post-processing,DBF comparison/intro,Different pressure degrees and DOFs are discussed without cost data.,"Report DOFs, time, memory, and solver details or remove complexity claims.",Remove complexity rhetoric.
D07,Moderate,Pressure interpretation,No,article 1644-1646,Taylor-Hood pressure accuracy is causally attributed to a dedicated pressure space.,Report observation without unsupported mechanism.,Same correction.
D08,Moderate,High-Re slopes,No,DBF high-Re low-porosity rows,Two-mesh threshold-crossing slopes are treated as convergence evidence.,Call pre-asymptotic two-mesh estimates.,Same correction.
D09,Minor,Forchheimer constant,No,article 1550,C_b=1.75 is called standard without precise convention/source equation.,Cite exact equation and nondimensionalization.,Remove 'standard'.
I01,Major,Abstract scope,No,article 204,Abstract says robust wrt Re/Da without theorem qualifications.,Use parameter-explicit language and state linear ASGS hypotheses.,Use proposed abstract.
I02,Major,Introduction scope,No,article 237,Introduction omits major theorem restrictions.,Insert explicit four-part contribution list.,Use proposed paragraph.
I03,Moderate,Priority claim,No,article 241,LPS is called the only prior stabilized FEM for variable porosity.,Remove priority claim; describe it as relevant prior work.,Same correction.
I04,Moderate,Complexity rhetoric,No,article 241,Inf-sup pairs are said to increase data-structure complexity without evidence.,Quantify with cost data or remove.,Remove.
I05,Major,Validation wording,No,article 243,Convergence analysis is said to validate general stabilization parameters.,Limit to simplified linear ASGS elementwise-constant setting.,Same correction.
I06,Blocker,Conclusion scope,No,article 1653-1659,Conclusion generalizes linear ASGS analysis to nonlinear ASGS/OSGS and extreme general case.,Rewrite conclusion using proved/empirical/limitation structure.,Use proposed conclusion.
I07,Blocker,Alpha interpolation claim,Yes to retain,article 1665,"Conclusion claims experiments show alpha interpolation does not spoil convergence, but alpha is always analytic.",Run analytic-vs-interpolated alpha study.,Delete the claim.
I08,Moderate,Nodal benchmark conclusion,No,article 1655,Conclusion treats proximity to nodal interpolant as stronger than optimality and broadly universal.,State only that many velocity errors are comparable to a benchmark.,Same correction.
S01,Blocker,Build package,No,source package,"Missing class, shared.tex, figure, and bibliography filename prevent clean build.",Restore/rename dependencies and compile from scratch.,None.
S02,Major,Revision state,No,all TeX files,Hundreds of active amendment and author-color macros remain.,Accept/reject all changes and remove macros.,None.
S03,Minor,Source hygiene,No,continuity appendix early comment,A control character remains in a comment.,Remove it.,Same correction.
S04,Moderate,Bibliography,No,references(4).bib,"Unused template entries, Semantic Scholar URLs, inconsistent DOI fields, and malformed metadata remain.",Clean against authoritative metadata and remove unused entries.,At minimum remove templates and fix cited entries.
S05,Minor,Style,No,throughout,"Very long numerical paragraphs mix observations, causes, and caveats.",Split into Observation/Interpretation/Limitation units and use tables for ratios.,Same correction.
S06,Minor,Wording,No,throughout,Overuse of clearly/precisely/in fact/interesting and awkward phrases.,Perform restrained language pass.,Same correction.
S07,Minor,Caption,No,article 1123,'Porous matrix's volume fraction' is awkward.,Use 'Solid volume fraction 1-alpha used in the manufactured tests.',Same correction.
S08,Minor,Table captions,No,2D/3D tables,OSGS parenthetical rates are called theoretical despite no OSGS theorem.,Call them nominal interpolation or ASGS benchmark orders.,Same correction.
