id,severity,still_present,audit_valid,effort,recommended_action,current_locus
D01,Major,PARTIALLY,PARTLY_VALID,small,[text-only] Add one display line giving the dimensional sigma (a(alpha)=nu*C_a((1-alpha)/alpha)^2/L^2-type form with the code's actual factors) and a half-sentence noting sigma*u has units of acceleration; otherwise the current amendment already carries the substantive content.,"article.tex l.1547-1551, eq:CocquetMMSReaction: a(alpha)=C_a((1-alpha)/alpha)^2, b(alpha)=C_b((1-alpha)/alpha); amend l.1551: 'The dimensional resistance coefficients a(alpha) and b(alpha) they define"
D02,Moderate,NO_ALREADY_FIXED,CONFIRMED,trivial,"[done] Optionally insert the single word 'representative' before Da(alpha_0) for extra clarity, but the evaluation point and functional dependence are already defined.","article.tex l.1551: 'evaluating sigma at the minimum porosity alpha_0 and |u|=U gives Da(alpha_0)=C_a((1-alpha_0)/alpha_0)^2 + C_b((1-alpha_0)/alpha_0), set solely by alpha_0'; l.1551: 'The two values"
D03,Moderate,NO_ALREADY_FIXED,CONFIRMED,trivial,[done] No change needed.,article.tex l.1544: 'Rather than reproducing the tube-flow benchmark of [cocquet2021error]---whose reference solution is itself a fine-mesh approximation---we resort once more to the method of manufac
D04,Blocker,PARTIALLY,CONFIRMED,trivial,"[text-only] Insert 'in velocity' (and a clause noting Taylor-Hood is more accurate in pressure) into the l.1649 summary and the l.1660 conclusion, mirroring the already-correct wording at l.1645.","FIXED in body l.1645: 'the equal-order stabilized method matches the accuracy of the more elaborate Taylor-Hood pair in the velocity, with the inf-sup-stable pair being more accurate in the pressure'."
D05,Major,PARTIALLY,PARTLY_VALID,rerun-required,"[text-only + optional rerun-gated] Optionally add one explicit sentence that the comparison isolates residual-stabilization vs unstabilized Galerkin and does not by itself rank the space pairs; a convectively-stabilized TH control is a nice-to-have, not needed for the current (non-superiority) claims.","article.tex l.1647: 'although the P2/P1 pair is inf-sup stable, the Galerkin form provides no control over the dominant convective term, and the velocity error stagnates'; intro l.241: 'the residual-b"
D06,Moderate,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Soften l.241 to a factual statement (e.g. 'a mixed pair uses distinct velocity/pressure spaces, whereas equal-order uses a single space') OR add a short DOF/solver-cost note; do not assert a cost advantage without data.","article.tex l.241: 'the use of inf-sup stable element pairs [cocquet2021error], with the associated complexity increase in the data structures required'. No DOF/timing/memory table accompanies the DBF"
D07,Moderate,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Drop or hedge 'as befits a discretization with a dedicated pressure space' (e.g. '---the inf-sup-stable pair being more accurate in the pressure'), reporting the observation without asserting a mechanism.","article.tex l.1645: 'with the inf-sup-stable pair being more accurate in the pressure, as befits a discretization with a dedicated pressure space'"
D08,Moderate,NO_ALREADY_FIXED,CONFIRMED,trivial,[done] No change needed.,"tab:CocquetMMSL2 caption l.1557: 'At (Re,alpha_0)=(10^5,0.1) the stabilized iteration converges only on the finer meshes; the slopes there are two-mesh estimates (see text).' Body l.1647: 'The tabulat"
D09,Minor,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Either cite the specific equation/convention in [cocquet2021error] (and/or Ergun) for C_b=1.75, or drop 'standard' and keep the 'of the reference' attribution.",article.tex l.1551: 'C_a = 0.30 and C_b = 1.75 are dimensionless constants (C_b being the standard Forchheimer value of the reference)'
F01,Moderate,NO_ALREADY_FIXED,ALREADY_ADDRESSED,trivial,"[text-only] Optionally soften l.695 ""preserving the stability of the discrete system"" to ""aiming to preserve the stability""; otherwise nothing to do.","article.tex:692 section title ""Design of the stabilization parameters: Fourier analysis""; l.697 ""we rely on a heuristic argument based on comparing the norms""; l.720 ""The argument to \emph{motivate} t"
F02,Moderate,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Add one clause after l.731 noting the equality is an engineering calibration criterion (a convenient scale-matching choice), not a necessary or sufficient condition for discrete stability, which is established separately in sec:StabilityASGS.","article.tex:727-731 ""a possible design restriction could be that the approximate version of the inequality in \cref{eq:BoundProjectionOfLBySubscales} holds. This is automatically achieved if one impos"
F03,Moderate,PARTIALLY,PARTLY_VALID,small,"[text-only] At l.731 restrict the definition: state that in all uses $\mathbf{A}$ is Hermitian positive semidefinite with respect to the $\Lambda^{-1}$ metric (so the maximum is a real nonnegative eigenvalue), or equivalently define the quantity via the largest generalized singular value / operator norm; reconcile with the appendix's max-modulus usage for the convective symbol.","article.tex:731 ""$\rho_{\Lambda^{-1}}(\mathbf{A}) \coloneqq \max\left( \mathrm{spec}_{\Lambda^{-1}}(\mathbf{A}) \right)$"" defined via ""for any matrix $\mathbf{A}$""; amendment l.725 ""$|\widehat{\mathca"
F04,Moderate,PARTIALLY,PARTLY_VALID,small,"[text-only] Add one sentence (best in the appendix near l.92 or where the theorem introduces scalar sigma in sec:StabilityASGS) showing $\rho_{\Lambda^{-1}}(\sigma\mathbb{I}_d)=\sigma$ since $\Lambda$ is the identity on the velocity block, thereby matching the scalar reaction of the theorem.","fourier_appendix.tex:92 ""The reaction block is $\mathbf{S}_\sigma=\diag(\boldsymbol{\sigma},\varepsilon)$ (the symmetric resistance tensor on the velocity block, the compressibility $\varepsilon$ on t"
F05,Moderate,YES,PARTLY_VALID,small,"[text-only] Reword l.775 to present the eigenvalue choice as a robust interpolation/scale-matching of the dominant-term contributions (e.g. ""each pair is chosen so that the approximate operator matches the spectral radius of its Fourier symbol, the contributions then being summed as in eq:DesignConditionOnTauWeak""), dropping 'minimum still ensuring'.","article.tex:775 ""their value should be taken as the minimum still ensuring that the spectral radius of the approximate operator is as large as that of its corresponding Fourier-transformed differentia"
F06,Minor,NO_ALREADY_FIXED,REFUTED,trivial,[text-only] Optionally promote the l.6-7 source comment into printed text (a footnote or sentence at l.12 citing proof_verification/sympy/fourier_tau_verification.py and the reproducibility package) so the verification claim is auditable from the PDF. No script needs to be created.,"fourier_appendix.tex:6-7 source comment ""symbolically by proof_verification/sympy/fourier_tau_verification.py (sympy); see proof_verification/sympy/README.md""; l.12 ""All the identities, eigenvalues an"
I01,Major,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Optionally add one clause naming the setting as the linearized ASGS problem (e.g. ""...of the linearized ASGS method...""); the Re/Da-robust wording is now defensible given the linearized + porosity-weighted qualifiers already added.","article.tex l.204: ""We carry out an a priori stability and convergence analysis of the linearized method whose error estimates are robust with respect to the Reynolds and Damkohler numbers, making exp"
I02,Major,PARTIALLY,PARTLY_VALID,small,"[text-only] Add one sentence stating that the proved result is the linearized ASGS estimate (constant viscosity, scalar reaction, Dirichlet data, resolved positive porosity, elementwise-constant parameters) and that the OSGS/nonlinear runs explore behavior beyond it. A full four-part list is optional.","article.tex l.237: ""...essentially the same stability and convergence properties are preserved for the problem analyzed herein if the porosity field is smooth and has bounded gradients that are suffic"
I03,Moderate,YES,PARTLY_VALID,trivial,"[text-only] Soften to ""one of the few previously proposed..."" or drop the clause and describe skrzypacz as relevant prior work; trivial edit.","article.tex l.241: ""...the Local Projection Stabilization~\cite{skrzypacz}---to our knowledge the only previously proposed stabilized finite element method for the variable-porosity problem---which..."
I04,Moderate,YES,PARTLY_VALID,trivial,"[text-only] Either soften to ""the need to manage compatible velocity-pressure spaces"" or delete the phrase, leaning on the already-added convection/reaction-control justification. Do not add a cost table for one intro clause.","article.tex l.241: ""...the use of inf-sup stable element pairs~\cite{cocquet2021error}, with the associated complexity increase in the data structures required;..."""
I05,Major,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Reword to ""...supporting the asymptotic scaling of our stabilization parameters in the linearized ASGS setting"" or ""motivating our choice of parameters""; the body scoping already exists.","article.tex l.243: ""In \cref{sec:StabilityASGS} the convergence analysis in~\cite{codina2001stabilized} is extended to the current setting, validating our choice of stabilization parameters."""
I06,Blocker,PARTIALLY,PARTLY_VALID,small,[text-only] Split the opening sentence: state that the proof covers the linearized ASGS problem and that the experiments (not the analysis) corroborate robustness of the general nonlinear ASGS/OSGS method. The limitation and empirical paragraphs are already in place.,"article.tex l.1654: ""Our analysis and numerical experiments show that the convergence properties of the original Navier-Stokes formulation are essentially preserved in the generalized setting... the m"
I07,Blocker,YES,CONFIRMED,trivial,"[text-only] minimal fix: delete the sentence (or restate as a conjecture, dropping the false attribution to experiments), leaving the deferral to future work / the cocquet2021error reference. [rerun-gated] alternative: actually run an analytic-vs-interpolated-alpha study to substantiate it. Deleting the claim is the honest minimal action.","article.tex l.1666: ""...let us tentatively mention that our numerical experiments indicate that the model error introduced by the interpolation of $\alpha$ does not spoil the convergence properties of"
I08,Moderate,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Optionally tighten the conclusion sentence to ""comparable in magnitude to the nodal interpolation error in the H1-seminorm, wherever no single term dominates"", mirroring the already-correct l.1147 body; largely already addressed.","article.tex l.1656: ""...we have \amend{further found a sharper empirical fact: wherever no single term dominates, the errors of both variants sit essentially on the error of the nodal interpolant of t"
M01,Blocker,YES,CONFIRMED,medium,"Promote both theorem statements to the l2 form E_h := (sum_K alpha_K^2 h_K^-2 (tau_{2,K}E_int,K(u)^2 + tau_{1,K}E_int,K(p)^2))^{1/2}, keeping the l1 sum as a coarser corollary; the l2 proof already exists in Coq (AbstractConvergence.v). [math-rework, but proof exists in Coq]","article.tex:968 eq:ConvergenceResult states the l1 sum \triplenorm{E_h} \le C \sum_K (alpha_K/h_K)(tau_{2,K}^{1/2}E_int,K(u)+tau_{1,K}^{1/2}E_int,K(p)); article.tex:975 '\amend{The estimate ... is sta"
M02,Blocker,PARTIALLY,PARTLY_VALID,medium,"After M01, define the global weighted functionals E_u := (sum_K alpha_K^2 h_K^-2 tau_{2,K} E_int,K(u)^2)^{1/2} and E_p analogously, and derive each regime bound for these; or state explicitly that the section is an element-level scaling argument with a representative E_int. [math-rework]","article.tex:1017 eq:ConvergenceResultDominantViscosity and onward use global E_int(u), E_int(p) (no K subscript); article.tex:1018 'Let U and P be the velocity and pressure characteristic values, such"
M03,Major,NO_ALREADY_FIXED,CONFIRMED,trivial,[done],"article.tex:1052 eq:DominantPressureGradientXTermEstimate now reads '(\amend{\frac{\lVert a\rVert_\infty U}{P}} + 1) E_int(p)/h', with an added \amend explaining the intermediate factor ||a||_inf U/P "
M04,Major,PARTIALLY,PARTLY_VALID,small,"Relabel the subsections as element-level dominance regimes and fix quantifiers, e.g. 'assume Re_{h,K} >> 1 on the elements of interest while the other ratios stay bounded'; reserve 'as h->0' for fixed-data convergence. [text-only]","article.tex:996 'note the following asymptotic dependencies (as $h \rightarrow 0$)'; subsection headers article.tex:1004 'Dominant viscous diffusion (Re_h, Da_h -> 0)', :1030 'Dominant convection (Re_"
M05,Major,PARTIALLY,PARTLY_VALID,medium,"Add a short standing-assumptions paragraph in the main text, state the linearized problem directly (not by reference to the iteration eq), inline the jump condition, and note discrete existence/uniqueness as a consequence of coercivity. [text-only]","article.tex:939 lemma:Stability now carries a consolidated \amend hypothesis block (tau defs, epsilon bound, mesh non-degeneracy, porosity resolution, div(alpha a)=0, all-Dirichlet); article.tex:966 t"
M06,Major,YES,PARTLY_VALID,trivial,"Write |B_S(...)| <= ... in lemma:Continuity (article l.958) and in eq:continuity/eq:sharpcont (appendix), or add one sentence noting the |.| follows from the all-V_h quantifier. [text-only]","article.tex:958 lemma:Continuity 'B_S(a, U_h, V_h) \leq C(...) \triplenorm{V_h}' (no absolute value); continuity_appendix.tex:382 eq:continuity and :396 eq:sharpcont 'B_S(a; U_h,V_h) \le C(...) \tripl"
M07,Minor,NO_ALREADY_FIXED,CONFIRMED,trivial,[done] (accept the \amend{s} amendment).,"article.tex:956 'Then, there exist\amend{s} a positive constant $C$' -- the tracked amendment adds the terminal 's', so the accepted text reads 'there exists'."
M08,Major,PARTIALLY,PARTLY_VALID,trivial,Add a half-sentence to Assumption[Advection] noting that the weighted-divergence-free condition is an additional analytical assumption generally not satisfied exactly by the discrete iterates. [text-only],"continuity_appendix.tex:174-179 Assumption[Advection]: 'a in C(Omega)^d \amend{with a|_K in W^{1,infinity}(K)^d for every K} (in the application, a is the \amend{continuous} finite element velocity of"
M09,Major,PARTIALLY,CONFIRMED,trivial,"Amend the conclusion sentence (l.1655) to '... at worst like alpha_0^{-1/2}, except for the pressure-gradient control in the strongly reaction-dominated limit, which carries 1/alpha_0'. [text-only]","article.tex:1655 conclusion '\amend{it also makes explicit, through a porosity-weighted norm, how the error constants depend on the minimum porosity, degrading at worst like $\alpha_0^{-1/2}$}' -- no "
M10,Moderate,YES,PARTLY_VALID,small,"Add a short remark identifying the kernel and noting it is trivial under homogeneous Dirichlet data plus zero-mean pressure normalization (so it is a norm on X_{h,0}); otherwise call it a mesh-dependent energy seminorm. [text-only]","article.tex:946 defines the quantity as \triplenorm{U_h} with no norm/seminorm justification; continuity_appendix.tex:98 heading 'Stabilization parameters and working norm', :129 eq:triplenorm defines"
N01,Blocker,YES,CONFIRMED,small,"[text-only] Adopt the audit's fallback wording ('the nonlinear solvers and initializations tested did not converge; the computations do not distinguish nonexistence from poor conditioning / loss of basin'). To retain 'fold'/'no solution', a rerun with pseudo-arclength continuation + Jacobian spectral diagnostics is required [rerun-gated].","article.tex l.1143 ""the discrete problem has \emph{no solution} on the coarser meshes of the sequence: the discrete solution branch passes through a turning point, and Newton and Picard iterations sta"
N02,Major,YES,CONFIRMED,trivial,"[text-only] Reconcile l.1119: keep L=1 and either drop the flat 'U=1' or phrase it as the reference normalization, deferring the realized U to the centered encoding; add one sentence on how the DBF (Cocquet) case is scaled.","article.tex l.1119 ""we take the characteristic scales $U = L = 1$"" vs l.1136 centered-encoding ""$U=\frac{\Reyn}{\sqrt{\alpha_\infty\Damk}}$"" with l.1132 explicitly calling '$U=1$' a 'naive choice' it "
N03,Major,PARTIALLY,PARTLY_VALID,medium,"[text-only for wording, otherwise data-appendix] Add an appendix or data-repository table of raw errors, h, and DOFs per mesh level, with local rates; the in-text two-mesh caveats can stay as-is.","article.tex l.1165 caption ""calculated from ... the two finest meshes""; tables 1-4 and 3D tables report only a two-mesh slope + finest-mesh error (FME) + interpolation reference; l.1442 ""every slope r"
N04,Moderate,PARTIALLY,PARTLY_VALID,small,[text-only] Add one sentence fixing h_K (e.g. element diameter) and the global h used in the rate/Re_h/Da_h formulas.,"article.tex l.1142 ""successively dividing the nodal distance by two, the coarsest ... a $10\times10$ grid""; l.1428 3D ""a uniform $N\times N\times\lceil0.3N\rceil$ grid ... into Kuhn tetrahedra ... tar"
N05,Major,YES,CONFIRMED,small,"[text-only] Add a sentence stating the quadrature degree per element order and for the error norms, and whether forcing/derivatives are symbolic or AD (retrievable from the code).","article.tex l.1094 ""an implementation of the method in the finite element library \texttt{Gridap} ... which was also used to evaluate the manufactured forcing terms and the exact-solution error norms"""
N06,Major,PARTIALLY,PARTLY_VALID,small,"[text-only] Either report the mass and projection residual norms/tolerances alongside the momentum one, or explicitly limit the stated tolerance to the momentum residual and note the insensitivity check covers the full solution.","article.tex l.1094 ""the momentum-residual tolerance being tightened (to order $10^{-9}$ for the higher-order elements) until the reported finest-mesh errors became insensitive to it---so that those er"
N07,Major,YES,CONFIRMED,small,"[text-only fallback or post-processing] Either compute and report max_K h_K||grad alpha||/alpha_0,K per mesh (cheap post-processing, no solve), or state explicitly that the hypothesis is assumed and not measured.","article.tex l.807 ""$\alpha$ ... taken as a constant over each element ... equal to the maximum value""; l.956 ""the ... porosity-resolution conditions are ... still needed""; l.1157 discusses elementwise"
N08,Major,PARTIALLY,PARTLY_VALID,small,"[text-only] Reword to 'guaranteed by construction' rather than 'verified', or [post-processing] add the per-mesh max eps*tau_2 and normalized ratio.","article.tex l.1434-1438 ""$\varepsilon = 0.0001\varepsilon_\text{ref}$ ... $\varepsilon_\text{ref}\coloneqq\frac{\alpha_0}{\nu(1+\Reyn+\Damk)}\le ...\le 100\frac{c_1\alpha_K^2\tau_{1,K}}{h^2}$""; l.1434"
N09,Major,PARTIALLY,PARTLY_VALID,small,"[text-only fallback] Drop the unsupported 'no effect' assertion (keep only 'pointwise tau was used, which lies outside the proof'), or [rerun] add a small ablation comparing pointwise vs element-max tau.","article.tex l.828 ""the stabilization parameters can be taken as variable within the elements without altering their performance. This is what we have done in all the simulations""; l.1087 ""the simulati"
N10,Major,PARTIALLY,PARTLY_VALID,trivial,[text-only] Replace 'absolute reference'/'floor' with 'nodal-interpolation benchmark' (the audit's phrase); the accompanying caveats can stay unchanged.,"article.tex l.1147 ""provides an absolute reference"" and ""sits on the interpolation error""; l.1153 ""reaches the approximation floor of the pressure space""; l.1155 ""sits \emph{on} that floor""; l.1147 ca"
N11,Moderate,YES,PARTLY_VALID,small,"[text-only] Add a one-line derivation/citation for the sqrt6 factor for this exact function/norm/mesh, or soften to 'exceeds it by an O(1) factor'.","article.tex l.1147 ""for the linear element the nodal interpolant is not the best approximation in the $L^2$-norm (it exceeds it by a factor $\sqrt6$ asymptotically)"""
N12,Major,YES,PARTLY_VALID,trivial,"[text-only] Attribute the 1/alpha amplitude and the measured growth factors to the chosen manufactured family (via the alpha*u=curl(psi) representation), not to every compatible velocity.","article.tex l.1149 ""any velocity compatible with $\nabla\cdot(\alpha\boldsymbol{u})=0$ scales as $1/\alpha$, so its interpolation error \emph{itself} grows as $\alpha_0$ decreases"""
N13,Major,PARTIALLY,PARTLY_VALID,trivial,[text-only] Soften the single 'corroborated' in the conclusions to 'are consistent with'.,"article.tex l.1149 ""the experiments are consistent with it without establishing it as sharp""; l.1145 ""compatible with the error estimates""; l.1151 ""consistent with the predicted asymptotic bounds""; BU"
N14,Moderate,PARTIALLY,PARTLY_VALID,trivial,[text-only] Optionally add 'we hypothesize' to the two remaining mechanism attributions (projection cause of the pressure optimum; mitigation-factor cause of pressure improvement); otherwise adequate.,"article.tex l.1151 ""We attribute this pattern to the orthogonal projection removing ...""; l.1157 ""in agreement with the $h$-independent mitigation factor""; l.1159 ""a pre-asymptotic effect governed by "
N15,Moderate,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Rename to 'quadratic excess indicator' and drop 'error component'; note it is a scalar quadratic difference, not a vector component.","article.tex l.1159 ""three features of the \emph{excess}---the error component present in OSGS but not in ASGS, measured in quadrature as $\big(e_{\text{OSGS}}^2 - e_{\text{ASGS}}^2\big)^{1/2}$"""
N16,Moderate,NO_ALREADY_FIXED,CONFIRMED,trivial,[done] No change needed; the current text already reports rate and magnitude separately.,"article.tex l.1442 ""the OSGS pressure attains comparable or slightly higher \emph{rates} than the ASGS one but with larger absolute \emph{errors}""; l.1658 (conclusions) ""the OSGS variant tends to deli"
N17,Major,PARTIALLY,PARTLY_VALID,small,[text-only] Add one sentence to the conclusions naming the barely-converging 3D OSGS H1 pressure as an unresolved limitation; [rerun-gated] the projection/boundary/quadrature diagnostics if a stronger statement is wanted.,"article.tex l.1442 ""its $H^1$ error barely converging"" + footnote ""The value $1.29$ recurs three times ... a genuine coincidence ... the OSGS pressure barely converges in the $H^1$-seminorm, so that i"
N18,Moderate,PARTIALLY,PARTLY_VALID,trivial,[text-only] Soften 'genuine discretization errors' to 'free of linear-solver tolerance error' or cross-reference the l.1094 nonlinear-tolerance and quadrature controls.,"article.tex l.1428 ""computed with a direct (sparse LU) solver, so that the tabulated values are the genuine discretization errors rather than an artifact of an iterative solver's stopping tolerance"""
N19,Major,PARTIALLY,PARTLY_VALID,trivial,[text-only] Replace 'genuinely three-dimensional test' with 'extruded three-dimensional discretization test'; [rerun] a full xyz MMS with nonzero u_z (satisfying div(alpha u)=0) would be needed for the stronger claim.,"article.tex l.1428 ""the $z$-wise extruded version of the same manufactured field"" and ""its lack of symmetry forces the velocity to acquire a nonzero $z$-component through the discretization error, pro"
N20,Major,PARTIALLY,PARTLY_VALID,small,"[text-only] Keep the footnote data; soften the conclusion so theory predicts 'a larger constant' and 16k^4 is described as the empirically successful round choice below the elementwise threshold, not as certified by the proved condition.","article.tex l.1430 + footnote: threshold ""$c_1\ge2\hat c^2(K)$ ... about $(100+5\sqrt2)/24\approx4.5$ times larger on the Kuhn tetrahedron"", ""a numerical evaluation of the discrete coercivity constant"
N21,Major,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Phrase the nullspace as a gauge fixed by the zero-mean constraint (reserving 'ill-posed' for the compatibility failure), and optionally mention a compatible boundary lifting/projection as an alternative control.","article.tex l.1432 ""the discrete pressure is determined only up to a constant, and on the irregular meshes the manufactured boundary data is moreover not exactly compatible with discrete mass conserva"
N22,Moderate,YES,CONFIRMED,small,"[text-only or appendix] Derive the constants from the tau_1/tau_2 definitions, the h convention, and the chosen parameter ranges and alpha_K bounds, or move the derivation to an appendix; alternatively report the directly computed margin instead of the constant chain.","article.tex l.1436 ""$\varepsilon_\text{ref}\coloneqq\frac{\alpha_0}{\nu(1+\Reyn+\Damk)}\le\frac{\alpha_K}{\nu(1+\frac{c_2}{c_1}\Reyn_h+\frac{100}{c_1}\Damk_h)}\le100\frac{c_1\alpha_K^2\tau_{1,K}}{h^2}"
N23,Moderate,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Soften l.1428 to 'the sequences show monotone error reduction and finest-mesh accuracy near the interpolant, with the two-mesh slopes read as trends', consistent with the l.1442 caveats already present.","article.tex l.1428 ""The reported sequences already reach the range in which the convergence rates are established, so finer meshes would only reconfirm them""; contradicted by l.1442 ""every slope repor"
S01,Blocker,NO_ALREADY_FIXED,CONFIRMED,trivial,[done] Build verified: latexmk resolves siam/ class+bst and latex compilation// for xr; PDF compiles clean. No action needed beyond keeping the latexmkrc path routing.,"n/a - already revised. article.tex l.2 \documentclass[review,onefignum,onetabnum]{siamart190516}; l.9 \input{shared}; l.1123 \includegraphics{figures/bump_plateau.pdf}; l.1677-1678 \bibliographystyle{"
S02,Major,YES,CONFIRMED,small,"[text-only] Before submission, accept/reject each tracked change and strip \amend/\Guillermo/\Joaquin wrappers (or neutralize the macros to identity). A deliberate final pass by the authors, not a mechanical global delete, since accept-vs-reject is a content decision.","article.tex: 346 \amend{...}, 13 \Guillermo{...} (red, l.112 def), 3 \Joaquin{...} (blue, l.113 def); continuity_appendix.tex: 7 \amend; fourier_appendix.tex: 3; elemental_matrices_appendix.tex: 20. E"
S03,Minor,YES,CONFIRMED,trivial,[text-only] Delete the ESC byte on line 5 (rewrite the comment as '... thebibliography / \end{document} stripped;').,continuity_appendix.tex l.5 (comment): '%   - standalone preamble / title / abstract / thebibliography / <ESC>nd{document} stripped;' - xxd confirms byte 0x1b (ESC) immediately before 'nd{document}'.
S04,Moderate,PARTIALLY,CONFIRMED,small,[text-only] Delete the 17 unused template entries; replace api.semanticscholar.org/CorpusID URLs with bare doi= fields; fix the smith2004 'Exhibition?' typo; standardize journal capitalization/en-dashes and preserve acronym casing.,"references.bib (renamed from references(4).bib). 59 entries; 42 cite-keys used, ~17 unused incl. SIAM template demos (AMSMSC2010, CalcI, GoVa13, Hi14, KoMa14, La86, MiGo04, Ne03, PeKoPi14, WoZhMeSh05,"
S05,Minor,PARTIALLY,PARTLY_VALID,small,[text-only] Optional further splitting of each long regime \paragraph into shorter observation/interpretation/limitation sentences; largely a style choice now that headings and interpolation-reference rows exist.,"article.tex l.1142-1163 (2D results): now split into labeled \paragraph units - l.1147 'Comparison against the interpolation error', l.1149 'Dependence on the minimum porosity', l.1151 'Viscosity-domi"
