id,severity,category,file,location,finding,why_it_matters,required_action,rerun_or_diagnostic
A05,Moderate,Finite-element spaces,article/osgs appendix,H:spaces; 387-402,"The smoothing proof assumes nodal Lagrange spaces, while the hypothesis says only continuous polynomial spaces.",Nodal values and shape functions may not be available abstractly.,State nodal Lagrange spaces or abstract the smoothing operator.,No
A06,Moderate,OSGS norm,osgs_appendix.tex,514-533,The proof uses a conformal Korn theorem where an explicit dev-sym identity is available; epsilon||q|| wording is imprecise.,The present proof is less transparent than necessary.,Use the shared identity and correct the epsilon term.,No
A07,Moderate,ASGS norm,continuity_appendix(2).tex,134-146 and theorem use,The ASGS working quantity is used as a norm without an explicit kernel proof.,Definiteness should be part of the rigorous setup.,Share the norm-definiteness lemma.,No
A08,Moderate,ASGS coercivity,continuity_appendix(2).tex,432-438,"The coercivity constant depends on the margin 1-4 Cinv^2/c1, but this is not emphasized.",The constant degenerates near the threshold.,State the margin dependence.,No
A09,Moderate,ASGS coercivity,continuity_appendix(2).tex,432-436,The condition with “some xi>2” is an indirect restatement of c1>4 Cinv^2.,It obscures the actual threshold.,Use the simpler condition or fix xi.,No
A10,Moderate,ASGS hypotheses,continuity_appendix(2).tex,"148-166,443-465",The global convention imposes coercivity assumptions even on the continuity lemma.,It makes individual results look more restrictive.,State hypotheses per lemma.,No
A11,Moderate,ASGS interpolation proof,continuity_appendix(2).tex,963-1048,The delicate face-term replacement is compressed to “identical powers of h.”,The key l2 upgrade deserves an explicit trace/overlap estimate.,Display both face bounds and global Cauchy–Schwarz.,No
A12,Moderate,ASGS consistency,continuity_appendix(2).tex,97-102,Exact consistency presumes strong residuals in L2(K) before regularity is stated.,The operator may not be defined at that level under the immediately stated assumptions.,State local H2/H1 regularity at consistency.,No
A13,Moderate,ASGS interpretation,article/ASGS appendix,999 and 1083-1092,The alpha_K factor is said to tighten the physical bound in low porosity.,Solution regularity and hidden constants can worsen as alpha0 decreases.,Describe only retention of the local weight.,No
A14,Moderate,OSGS theorem,osgs_appendix.tex,565-590,The theorem dependency line and later caveat disagree.,The theorem statement should be self-consistent.,Move the full dependency caveat into the theorem.,No
A15,Moderate,OSGS constants,osgs_appendix.tex,577-588,Sufficient gamma conditions are far above experimental constants.,"Theory does not calibrate c1,c2.",Keep them explicitly non-sharp and avoid validation language.,Optional eigenvalue diagnostic
A16,Moderate,OSGS algebra assumptions,osgs_appendix.tex,P5/P6 and 1117-1121,Several steps silently use c1>=1.,The stated assumptions only say c1>0 in some places.,"State c1>=1 or use max(1,c1).",No
A17,Moderate,OSGS inf-sup notation,osgs_appendix.tex,814-816,One supremum includes the zero test function despite a denominator.,The displayed quotient is formally undefined.,Use X_h\{0}.,No
A18,Moderate,OSGS consistency prose,osgs_appendix.tex,943-970,"The last mass-consistency conversion is attributed to epsilon tau2 again, but it uses P5.",The explanation does not match the algebra.,Correct the sentence.,No
A19,Moderate,OSGS robustness,osgs_appendix.tex,1196-1215,"“Uniform in sigma” ignores beta0, h0, and solution-norm dependence.","The explicit coefficient is uniform, not necessarily the full physical error.",Qualify the corollary.,No
A20,Moderate,OSGS pressure statement,osgs_appendix.tex,1211-1215,The text says the pressure contribution decreases with sigma.,"The coefficient decreases, but pressure Sobolev norms may grow.",Refer to the displayed coefficient only.,No
A21,Moderate,OSGS appendix length,osgs_appendix.tex,1305 onward,The unproved Method-II extension adds length and scope.,It distracts from the proved result.,Delete or reduce to future work.,No
A22,Moderate,Symmetry table,article_v2(1).tex,1094-1110,"The table lists only one extra assumption per method, hiding several OSGS technical conditions.",The symmetry is misleading.,List method-specific analytical ingredients or split stability/convergence assumptions.,No
A23,Moderate,Shared architecture,appendices,global,OSGS imports common lemmas from an appendix titled ASGS convergence analysis.,The title hides the actual dependency and duplicates notation.,Create a neutral common-tools subsection/appendix.,No
A24,Moderate,Notation,article/appendices,global,"X_h/X_hz, bare/subscripted norms, Psi/Psi_S, and error splits differ.",The intended symmetry is harder to follow.,Adopt one notation dictionary.,No
A25,Moderate,Norm normalization,article/appendices,ASGS norm vs OSGS norm,ASGS uses nu while OSGS uses 2nu in the viscous norm.,The term-by-term norm comparison partly reflects normalization.,Harmonize or explicitly call it harmless normalization.,No
A26,Moderate,VMS rigor,article_v2(1).tex,scale-split section,The direct-sum decomposition and Green operator are used without topology/invertibility assumptions.,They are formal rather than rigorous statements.,Label the derivation formal and begin rigorous results at the discrete forms.,No
A27,Moderate,Fourier analysis,article/fourier appendix,Fourier section,Mean-wavenumber replacement and additive scaling are presented too strongly.,They motivate parameters but do not prove stability or uniqueness of tau.,Call the section a scaling rationale and temper claims.,No
A28,Moderate,Spectral notation,article_v2(1).tex,Fourier operator norm,Generalized spectral radius is not fully defined for the complex symbol.,Readers cannot verify the matrix-norm identity.,Define the Hermitian pencil/eigenvalue convention.,No
N01,Major,Numerical solver,article_v2(1).tex,1248,“Same discrete solution” assumes nonlinear uniqueness.,Different roots/branches can exist.,Say same algebraic formulation and observed branch.,No
N02,Moderate,Numerical solver,article_v2(1).tex,"1248,1582",Direct LU and tight nonlinear tolerances are said to make errors purely discretization errors.,"Quadrature, nonlinear, conditioning, and implementation errors remain.",Narrow the statement to excluded solver tolerances.,No
N03,Moderate,Numerical scope,article_v2(1).tex,"1297,1309","Supplemental N=512,768 runs lie outside the declared N<=320 sequence.",The data provenance is unclear.,State these are supplemental runs and give their mesh/DOF data.,No
N04,Moderate,Manufactured solution,article_v2(1).tex,1303,The text says any weighted-solenoidal velocity scales as 1/alpha.,This is false generally.,Refer only to the chosen manufactured construction.,No
N05,Moderate,Interpolation interpretation,article_v2(1).tex,1301-1305,Nodal interpolation is treated as best approximation or a floor in causal conclusions.,It is only a benchmark and not generally a lower bound.,Use empirical benchmark language.,No
N06,Moderate,Rate interpretation,article_v2(1).tex,1305,An observed one-order pressure slope is said to prove the theoretical loss is not an artifact.,A one-sided upper bound and finite sequence cannot establish necessity.,Say the slope coincides with the order allowed by the estimate.,No
N07,Moderate,Mechanism attribution,article_v2(1).tex,1305,OSGS pressure improvement is attributed to projection removal without an isolating experiment.,The mechanism is plausible but unverified.,Label it an interpretation/hypothesis.,Optional ablation
N08,Moderate,Reaction discussion,article/osgs appendix,1311 onward; 1261-1288,Observed factor 3.5 is quantitatively linked to an incorrectly normalized theorem factor.,The comparison is not supported.,Remove the numerical prediction and retain qualitative compatibility only.,No
N09,Moderate,Trend language,article_v2(1).tex,reaction discussion,A few local slopes are described as accelerating relative convergence.,The sequence is too short to establish a law.,Report the values descriptively.,No
N10,Major,3D coercivity,article_v2(1).tex,1584,P1 viscous residual is said to vanish identically although the weighted operator contains grad alpha terms.,The statement is false for variable porosity.,Restrict it to the unweighted affine second derivative and temper the conclusion.,Possibly recompute weighted diagnostic
N11,Moderate,3D generalization,article_v2(1).tex,"1584,1822",Tested tetrahedral behavior is generalized to quadratic versus linear elements universally.,Only specific mesh families were studied.,Restrict claims to the tested families.,No
N12,Moderate,3D rates,article_v2(1).tex,1582 and tables,Short two-/three-level slopes are said to establish rates and make further meshes unnecessary.,"This is too strong, especially for irregular P2.",Call them local observed slopes.,Optional extra meshes
N13,Moderate,Table terminology,article_v2(1).tex,all numerical table captions,Parenthesized orders are called theoretical rates.,The nonlinear implementation and many L2 rates are not covered by the theorem.,Call them nominal interpolation orders.,No
N14,Moderate,Taylor-Hood interpretation,article_v2(1).tex,1809,The stabilized control is said to confirm causality and redundant perturbation.,"It supports, but does not prove, those explanations.",Temper the causal language.,No
N15,Moderate,Finite-range convergence,article_v2(1).tex,1809,Taylor-Hood is said not to converge.,The error stagnates only over the tested range.,Use finite-campaign wording.,No
N16,Moderate,Reproducibility,numerical section,global,"Raw errors, mesh conventions/DOFs, residual norms, iterations, quadrature, and actual Re_h/Da_h ranges are incomplete.",Independent reproduction and evaluation of two-mesh slopes are difficult.,Supply machine-readable raw data and full metadata.,Data export only
I01,Moderate,Abstract,article_v2(1).tex,235,The abstract says singular “linearized method” and unconditional Reynolds/Damkohler robustness.,There are two distinct conditional theorems.,Name both methods and qualify robustness.,No
I02,Moderate,Introduction,article_v2(1).tex,contributions section,ASGS remains foregrounded before OSGS despite the intended symmetry.,The contribution statement should match the final architecture.,State both theorem contributions together.,No
I03,Moderate,Section labeling,article_v2(1).tex,sec:StabilityASGS,A section label naming ASGS now contains both methods.,It is misleading and awkward for references.,Rename to a neutral analysis label.,No
I04,Moderate,Continuous model,article_v2(1).tex,model well-posedness discussion,Existence/uniqueness for sufficiently large viscosity/porosity is asserted without a precise result.,The claim is unsupported in the paper.,State it as an assumption or cite a precise theorem.,No
I05,Moderate,Conclusion,article_v2(1).tex,1816,“That theorem” refers to two theorems; empirical robustness wording remains broad.,The conclusion is inconsistent with the new symmetric theory.,Use plural and test-limited language.,No
I06,Moderate,Conclusion,article_v2(1).tex,1818,“Errors sit on the interpolant” and growth is “inherited rather than introduced” are generalized and causal.,Only selected manufactured cases support the observation.,Limit to those cases and say the errors track the benchmark.,No
I07,Moderate,Conclusion,article_v2(1).tex,1820,The theory is said not to resolve the OSGS reaction discrepancy.,It supplies a qualitative allowance but no quantitative/necessary explanation.,Use that more precise distinction.,No
I08,Moderate,Conclusion,article_v2(1).tex,1822,Optimal 3D rates are claimed despite OSGS pressure-H1 weakness.,The statement ignores a reported exception.,Specify the components and mesh family recovered.,No
I09,Moderate,Future work,article_v2(1).tex,1828,Interpolated porosity is expected to be benign despite no experiment and nontrivial positivity/weighted-norm issues.,The expectation is unsupported.,Remove or label as an open hypothesis.,No
S01,Minor,Style,article and appendices,global,"Phrases such as exact price, exact reward, exactly inflated, and confirms are stronger than one-sided estimates permit.",They blur theorem versus interpretation.,"Use “factor produced by the estimate,” “permits,” and “supports.”",No
S02,Minor,Style,article_v2(1).tex,numerical discussion,"Several long paragraphs combine observation, mechanism, and limitation.",The logical status of each claim is hard to parse.,Use Observation–Interpretation–Limitation substructure.,No
S03,Minor,Style,appendices,global,Common constants and dependence statements are repeated inconsistently.,This creates avoidable contradictions.,Create one dependency table and theorem-specific overrides.,No
S04,Minor,Style,article_v2(1).tex,robustness section,"“Optimal” is used for weighted energy estimates, component estimates, and observed slopes without distinction.",The term changes meaning across sections.,"Specify optimal in h-order, interpolation order, or parameter-uniformity.",No
